investor_id,age_group,gender,state,city_tier,monthly_sip_amount
INV00001,25-34,Female,Punjab,B30,13819.93
INV00002,55+,Male,Madhya Pradesh,T30,11369.22
INV00003,55+,Male,Kerala,T30,9922.56
INV00004,45-54,Male,Punjab,B30,6049.82
INV00005,25-34,Male,Kerala,T30,19236.45
INV00006,35-44,Male,Maharashtra,B30,32133.98
INV00007,35-44,Male,Punjab,B30,5144.54
INV00008,45-54,Female,Kerala,T30,4141.01
INV00009,18-24,Female,Madhya Pradesh,T30,6521.08
INV00010,35-44,Male,Kerala,T30,6639.01
INV00011,25-34,Male,West Bengal,T30,7175.76
INV00012,25-34,Female,Gujarat,T30,3970.21
INV00013,45-54,Female,Gujarat,T30,15107.5
INV00014,35-44,Male,Tamil Nadu,B30,12864.01
INV00015,35-44,Female,Gujarat,T30,11116.14
INV00016,25-34,Female,Uttar Pradesh,B30,3524.23
INV00017,35-44,Male,West Bengal,T30,10320.79
INV00018,35-44,Female,Rajasthan,T30,3200.0
INV00019,45-54,Female,Uttar Pradesh,T30,27153.39
INV00020,18-24,Male,Rajasthan,B30,3187.89
INV00021,45-54,Male,Maharashtra,T30,21404.62
INV00022,25-34,Male,Delhi,T30,4978.58
INV00023,25-34,Female,Karnataka,T30,7913.32
INV00024,25-34,Female,Delhi,B30,15570.0
INV00025,35-44,Male,Punjab,T30,2308.36
INV00026,35-44,Male,Delhi,T30,15744.39
INV00027,45-54,Male,Delhi,T30,5871.62
INV00028,35-44,Female,Telangana,B30,20270.39
INV00029,25-34,Female,Telangana,T30,26918.55
INV00030,18-24,Female,Madhya Pradesh,B30,3501.67
INV00031,25-34,Female,Karnataka,T30,31131.95
INV00032,55+,Male,Tamil Nadu,T30,5095.19
INV00033,25-34,Female,Rajasthan,T30,9316.97
INV00034,45-54,Male,Punjab,T30,22373.6
INV00035,35-44,Male,West Bengal,T30,28396.89
INV00036,25-34,Male,Kerala,T30,3535.11
INV00037,25-34,Male,Kerala,T30,4446.77
INV00038,25-34,Female,Gujarat,T30,27512.17
INV00039,35-44,Female,Kerala,T30,6111.31
INV00040,35-44,Male,Kerala,T30,9848.88
INV00041,25-34,Male,Delhi,T30,7273.39
INV00042,18-24,Male,Madhya Pradesh,T30,1576.44
INV00043,18-24,Female,Gujarat,B30,13099.7
INV00044,35-44,Male,Madhya Pradesh,T30,13778.66
INV00045,55+,Male,Telangana,T30,9940.07
INV00046,35-44,Male,Maharashtra,T30,11377.74
INV00047,25-34,Male,Telangana,B30,11645.07
INV00048,45-54,Male,Gujarat,B30,5876.28
INV00049,35-44,Female,Tamil Nadu,T30,25672.45
INV00050,25-34,Female,Delhi,T30,5578.4
INV00051,45-54,Female,Telangana,T30,18031.75
INV00052,35-44,Male,Uttar Pradesh,T30,13077.43
INV00053,35-44,Female,Karnataka,T30,55613.52
INV00054,25-34,Male,Maharashtra,T30,4775.7
INV00055,35-44,Male,Uttar Pradesh,B30,10543.36
INV00056,18-24,Female,Telangana,T30,5184.85
INV00057,25-34,Female,Gujarat,B30,1407.12
INV00058,25-34,Other,Punjab,T30,5807.4
INV00059,45-54,Male,Tamil Nadu,T30,14635.23
INV00060,35-44,Male,Rajasthan,T30,11789.18
INV00061,45-54,Male,Kerala,T30,8459.72
INV00062,25-34,Female,Kerala,T30,3969.44
INV00063,25-34,Male,Madhya Pradesh,T30,5171.18
INV00064,25-34,Male,Telangana,T30,10969.2
INV00065,25-34,Female,Rajasthan,T30,9908.66
INV00066,25-34,Female,Karnataka,T30,20667.06
INV00067,45-54,Female,Karnataka,T30,13457.13
INV00068,35-44,Female,Rajasthan,T30,22352.8
INV00069,18-24,Male,Telangana,T30,5052.0
INV00070,25-34,Male,Delhi,T30,29460.93
INV00071,18-24,Male,West Bengal,T30,4504.03
INV00072,25-34,Female,Delhi,T30,13653.87
INV00073,55+,Male,Karnataka,B30,9836.75
INV00074,45-54,Male,Rajasthan,T30,9858.29
INV00075,25-34,Male,Rajasthan,T30,5026.75
INV00076,55+,Female,Karnataka,B30,7117.16
INV00077,25-34,Female,Delhi,T30,14939.62
INV00078,35-44,Male,Gujarat,T30,7893.08
INV00079,35-44,Female,West Bengal,T30,19050.37
INV00080,55+,Female,Delhi,T30,9514.56
INV00081,25-34,Male,Delhi,B30,5013.76
INV00082,35-44,Male,Gujarat,B30,20552.75
INV00083,25-34,Female,Punjab,T30,7611.41
INV00084,25-34,Male,Punjab,T30,3669.54
INV00085,18-24,Female,Uttar Pradesh,T30,15900.92
INV00086,35-44,Female,Punjab,T30,13396.51
INV00087,55+,Female,Telangana,B30,13443.88
INV00088,45-54,Female,West Bengal,B30,60594.36
INV00089,35-44,Male,Tamil Nadu,T30,10025.6
INV00090,25-34,Male,Gujarat,T30,18107.33
INV00091,25-34,Female,Uttar Pradesh,T30,7456.98
INV00092,25-34,Female,Tamil Nadu,B30,4418.93
INV00093,45-54,Male,Madhya Pradesh,T30,12258.99
INV00094,25-34,Male,Gujarat,T30,3320.42
INV00095,25-34,Male,West Bengal,T30,16341.33
INV00096,35-44,Male,Tamil Nadu,B30,30548.96
INV00097,55+,Female,Rajasthan,T30,12449.53
INV00098,35-44,Female,Gujarat,T30,4180.32
INV00099,25-34,Other,Tamil Nadu,T30,6612.21
INV00100,35-44,Male,Karnataka,T30,3957.22
INV00101,35-44,Male,Rajasthan,B30,7155.36
INV00102,35-44,Male,West Bengal,B30,5569.5
INV00103,18-24,Female,Madhya Pradesh,T30,3824.68
INV00104,18-24,Female,Tamil Nadu,T30,44102.46
INV00105,25-34,Male,Uttar Pradesh,T30,3814.99
INV00106,35-44,Male,Gujarat,T30,7896.45
INV00107,35-44,Male,Uttar Pradesh,T30,6653.15
INV00108,25-34,Female,Delhi,T30,4395.99
INV00109,45-54,Male,Tamil Nadu,B30,8204.86
INV00110,25-34,Male,Delhi,B30,5805.12
INV00111,55+,Male,West Bengal,T30,3054.45
INV00112,18-24,Female,Delhi,T30,4775.64
INV00113,45-54,Male,Punjab,T30,4987.29
INV00114,25-34,Female,Delhi,B30,8443.33
INV00115,25-34,Male,Punjab,T30,4936.43
INV00116,18-24,Female,Tamil Nadu,B30,3878.41
INV00117,25-34,Female,Delhi,T30,15792.62
INV00118,25-34,Male,Kerala,B30,7018.17
INV00119,25-34,Female,Maharashtra,T30,6397.4
INV00120,35-44,Male,Telangana,T30,4594.8
INV00121,25-34,Male,Kerala,T30,4020.09
INV00122,35-44,Male,Gujarat,T30,19682.29
INV00123,45-54,Male,Delhi,T30,13613.2
INV00124,45-54,Male,Kerala,B30,46135.75
INV00125,18-24,Male,Kerala,T30,1343.77
INV00126,25-34,Male,Tamil Nadu,T30,10141.48
INV00127,25-34,Female,Maharashtra,T30,11692.02
INV00128,35-44,Male,Rajasthan,B30,44918.71
INV00129,25-34,Male,Karnataka,T30,7869.45
INV00130,35-44,Male,Tamil Nadu,B30,8404.59
INV00131,35-44,Female,Karnataka,T30,7756.05
INV00132,45-54,Male,Delhi,B30,50884.67
INV00133,25-34,Male,Maharashtra,T30,7426.46
INV00134,25-34,Male,Madhya Pradesh,B30,21294.97
INV00135,25-34,Female,Madhya Pradesh,B30,5609.21
INV00136,45-54,Female,Uttar Pradesh,B30,18144.3
INV00137,55+,Female,Punjab,T30,8267.89
INV00138,25-34,Male,Punjab,T30,17770.24
INV00139,25-34,Female,Maharashtra,T30,4583.16
INV00140,35-44,Male,Telangana,T30,5552.85
INV00141,25-34,Male,Delhi,T30,2800.71
INV00142,18-24,Female,Kerala,T30,7083.38
INV00143,35-44,Male,Maharashtra,T30,8693.85
INV00144,25-34,Female,Maharashtra,T30,9911.02
INV00145,25-34,Other,Delhi,T30,14105.27
INV00146,55+,Male,Karnataka,B30,6243.54
INV00147,18-24,Male,West Bengal,B30,9369.25
INV00148,35-44,Male,Kerala,B30,15280.09
INV00149,35-44,Female,Karnataka,T30,9602.98
INV00150,35-44,Male,Madhya Pradesh,B30,11509.19
INV00151,25-34,Female,Gujarat,T30,29819.69
INV00152,45-54,Female,Kerala,T30,8400.13
INV00153,55+,Female,Madhya Pradesh,T30,24591.02
INV00154,25-34,Female,Telangana,T30,9569.33
INV00155,35-44,Female,West Bengal,B30,5484.58
INV00156,18-24,Male,Tamil Nadu,T30,1278.8
INV00157,35-44,Male,West Bengal,B30,7197.76
INV00158,35-44,Male,Punjab,T30,14799.91
INV00159,25-34,Male,Delhi,T30,22553.11
INV00160,25-34,Male,Telangana,T30,4968.77
