date,category,net_inflow_crore,year,year_month,financial_year
2022-01-01,Large Cap,1533.19,2022,2022-01,FY22
2022-02-01,Large Cap,1403.81,2022,2022-02,FY22
2022-03-01,Large Cap,2253.81,2022,2022-03,FY22
2022-04-01,Large Cap,1811.45,2022,2022-04,FY23
2022-05-01,Large Cap,2482.45,2022,2022-05,FY23
2022-06-01,Large Cap,1625.28,2022,2022-06,FY23
2022-07-01,Large Cap,1628.28,2022,2022-07,FY23
2022-08-01,Large Cap,1992.65,2022,2022-08,FY23
2022-09-01,Large Cap,1717.13,2022,2022-09,FY23
2022-10-01,Large Cap,1956.29,2022,2022-10,FY23
2022-11-01,Large Cap,2056.41,2022,2022-11,FY23
2022-12-01,Large Cap,1924.12,2022,2022-12,FY23
2023-01-01,Large Cap,1820.43,2023,2023-01,FY23
2023-02-01,Large Cap,1733.32,2023,2023-02,FY23
2023-03-01,Large Cap,1843.99,2023,2023-03,FY23
2023-04-01,Large Cap,1567.08,2023,2023-04,FY24
2023-05-01,Large Cap,1290.62,2023,2023-05,FY24
2023-06-01,Large Cap,1428.49,2023,2023-06,FY24
2023-07-01,Large Cap,1586.96,2023,2023-07,FY24
2023-08-01,Large Cap,2174.87,2023,2023-08,FY24
2023-09-01,Large Cap,1412.45,2023,2023-09,FY24
2023-10-01,Large Cap,1983.92,2023,2023-10,FY24
2023-11-01,Large Cap,1252.88,2023,2023-11,FY24
2023-12-01,Large Cap,2221.43,2023,2023-12,FY24
2024-01-01,Large Cap,1602.68,2024,2024-01,FY24
2024-02-01,Large Cap,2251.09,2024,2024-02,FY24
2024-03-01,Large Cap,1879.71,2024,2024-03,FY24
2024-04-01,Large Cap,1890.81,2024,2024-04,FY25
2024-05-01,Large Cap,2364.44,2024,2024-05,FY25
2024-06-01,Large Cap,2123.1,2024,2024-06,FY25
2024-07-01,Large Cap,1990.34,2024,2024-07,FY25
2024-08-01,Large Cap,2423.08,2024,2024-08,FY25
2024-09-01,Large Cap,2043.59,2024,2024-09,FY25
2024-10-01,Large Cap,1951.37,2024,2024-10,FY25
2024-11-01,Large Cap,2825.82,2024,2024-11,FY25
2024-12-01,Large Cap,2822.6,2024,2024-12,FY25
2025-01-01,Large Cap,2681.84,2025,2025-01,FY25
2025-02-01,Large Cap,3115.54,2025,2025-02,FY25
2025-03-01,Large Cap,2682.57,2025,2025-03,FY25
2025-04-01,Large Cap,2318.94,2025,2025-04,FY26
2025-05-01,Large Cap,2652.52,2025,2025-05,FY26
2025-06-01,Large Cap,2161.51,2025,2025-06,FY26
2025-07-01,Large Cap,2044.46,2025,2025-07,FY26
2025-08-01,Large Cap,2910.82,2025,2025-08,FY26
2025-09-01,Large Cap,3007.89,2025,2025-09,FY26
2025-10-01,Large Cap,2729.95,2025,2025-10,FY26
2025-11-01,Large Cap,2365.47,2025,2025-11,FY26
2025-12-01,Large Cap,2441.34,2025,2025-12,FY26
2022-01-01,Mid Cap,1410.87,2022,2022-01,FY22
2022-02-01,Mid Cap,1730.75,2022,2022-02,FY22
2022-03-01,Mid Cap,1701.9,2022,2022-03,FY22
2022-04-01,Mid Cap,2080.26,2022,2022-04,FY23
2022-05-01,Mid Cap,2072.48,2022,2022-05,FY23
2022-06-01,Mid Cap,1845.73,2022,2022-06,FY23
2022-07-01,Mid Cap,2258.21,2022,2022-07,FY23
2022-08-01,Mid Cap,1960.11,2022,2022-08,FY23
2022-09-01,Mid Cap,2173.18,2022,2022-09,FY23
2022-10-01,Mid Cap,2199.23,2022,2022-10,FY23
2022-11-01,Mid Cap,2477.9,2022,2022-11,FY23
2022-12-01,Mid Cap,2371.73,2022,2022-12,FY23
2023-01-01,Mid Cap,1642.95,2023,2023-01,FY23
2023-02-01,Mid Cap,1849.94,2023,2023-02,FY23
2023-03-01,Mid Cap,2100.78,2023,2023-03,FY23
2023-04-01,Mid Cap,2281.83,2023,2023-04,FY24
2023-05-01,Mid Cap,1299.81,2023,2023-05,FY24
2023-06-01,Mid Cap,2212.09,2023,2023-06,FY24
2023-07-01,Mid Cap,1573.62,2023,2023-07,FY24
2023-08-01,Mid Cap,1982.67,2023,2023-08,FY24
2023-09-01,Mid Cap,1881.46,2023,2023-09,FY24
2023-10-01,Mid Cap,2542.83,2023,2023-10,FY24
2023-11-01,Mid Cap,1835.41,2023,2023-11,FY24
2023-12-01,Mid Cap,1965.45,2023,2023-12,FY24
2024-01-01,Mid Cap,2482.29,2024,2024-01,FY24
2024-02-01,Mid Cap,2093.79,2024,2024-02,FY24
2024-03-01,Mid Cap,1675.43,2024,2024-03,FY24
2024-04-01,Mid Cap,1205.1,2024,2024-04,FY25
2024-05-01,Mid Cap,2077.71,2024,2024-05,FY25
2024-06-01,Mid Cap,2429.61,2024,2024-06,FY25
2024-07-01,Mid Cap,3007.53,2024,2024-07,FY25
2024-08-01,Mid Cap,2579.21,2024,2024-08,FY25
2024-09-01,Mid Cap,2663.83,2024,2024-09,FY25
2024-10-01,Mid Cap,2710.71,2024,2024-10,FY25
2024-11-01,Mid Cap,2810.98,2024,2024-11,FY25
2024-12-01,Mid Cap,3064.94,2024,2024-12,FY25
2025-01-01,Mid Cap,3088.31,2025,2025-01,FY25
2025-02-01,Mid Cap,2559.41,2025,2025-02,FY25
2025-03-01,Mid Cap,3117.03,2025,2025-03,FY25
2025-04-01,Mid Cap,3020.18,2025,2025-04,FY26
2025-05-01,Mid Cap,2599.26,2025,2025-05,FY26
2025-06-01,Mid Cap,3273.78,2025,2025-06,FY26
2025-07-01,Mid Cap,2690.04,2025,2025-07,FY26
2025-08-01,Mid Cap,2236.46,2025,2025-08,FY26
2025-09-01,Mid Cap,3320.27,2025,2025-09,FY26
2025-10-01,Mid Cap,3361.33,2025,2025-10,FY26
2025-11-01,Mid Cap,2607.62,2025,2025-11,FY26
2025-12-01,Mid Cap,2927.89,2025,2025-12,FY26
2022-01-01,Small Cap,1318.81,2022,2022-01,FY22
2022-02-01,Small Cap,1689.54,2022,2022-02,FY22
2022-03-01,Small Cap,2012.63,2022,2022-03,FY22
2022-04-01,Small Cap,1714.56,2022,2022-04,FY23
2022-05-01,Small Cap,2164.7,2022,2022-05,FY23
2022-06-01,Small Cap,1865.42,2022,2022-06,FY23
2022-07-01,Small Cap,1812.18,2022,2022-07,FY23
2022-08-01,Small Cap,1572.27,2022,2022-08,FY23
2022-09-01,Small Cap,1748.69,2022,2022-09,FY23
2022-10-01,Small Cap,1686.87,2022,2022-10,FY23
2022-11-01,Small Cap,2053.8,2022,2022-11,FY23
2022-12-01,Small Cap,2444.96,2022,2022-12,FY23
2023-01-01,Small Cap,1565.99,2023,2023-01,FY23
2023-02-01,Small Cap,1985.16,2023,2023-02,FY23
2023-03-01,Small Cap,1542.77,2023,2023-03,FY23
2023-04-01,Small Cap,1275.41,2023,2023-04,FY24
2023-05-01,Small Cap,1598.17,2023,2023-05,FY24
2023-06-01,Small Cap,1651.05,2023,2023-06,FY24
2023-07-01,Small Cap,1780.37,2023,2023-07,FY24
2023-08-01,Small Cap,1738.86,2023,2023-08,FY24
2023-09-01,Small Cap,1434.06,2023,2023-09,FY24
2023-10-01,Small Cap,1360.91,2023,2023-10,FY24
2023-11-01,Small Cap,2636.73,2023,2023-11,FY24
2023-12-01,Small Cap,1584.17,2023,2023-12,FY24
2024-01-01,Small Cap,1768.84,2024,2024-01,FY24
2024-02-01,Small Cap,1876.15,2024,2024-02,FY24
2024-03-01,Small Cap,1345.51,2024,2024-03,FY24
2024-04-01,Small Cap,1541.14,2024,2024-04,FY25
2024-05-01,Small Cap,2290.81,2024,2024-05,FY25
2024-06-01,Small Cap,1990.27,2024,2024-06,FY25
2024-07-01,Small Cap,2274.16,2024,2024-07,FY25
2024-08-01,Small Cap,2941.21,2024,2024-08,FY25
2024-09-01,Small Cap,2034.38,2024,2024-09,FY25
2024-10-01,Small Cap,1697.23,2024,2024-10,FY25
2024-11-01,Small Cap,2436.72,2024,2024-11,FY25
2024-12-01,Small Cap,2299.05,2024,2024-12,FY25
2025-01-01,Small Cap,2364.97,2025,2025-01,FY25
2025-02-01,Small Cap,2605.19,2025,2025-02,FY25
2025-03-01,Small Cap,2607.71,2025,2025-03,FY25
2025-04-01,Small Cap,2790.51,2025,2025-04,FY26
2025-05-01,Small Cap,2709.66,2025,2025-05,FY26
2025-06-01,Small Cap,1546.72,2025,2025-06,FY26
2025-07-01,Small Cap,2352.04,2025,2025-07,FY26
2025-08-01,Small Cap,1817.35,2025,2025-08,FY26
2025-09-01,Small Cap,2709.85,2025,2025-09,FY26
2025-10-01,Small Cap,2108.1,2025,2025-10,FY26
2025-11-01,Small Cap,2963.73,2025,2025-11,FY26
2025-12-01,Small Cap,2478.46,2025,2025-12,FY26
2022-01-01,Flexi Cap,1147.15,2022,2022-01,FY22
2022-02-01,Flexi Cap,729.75,2022,2022-02,FY22
2022-03-01,Flexi Cap,1054.1,2022,2022-03,FY22
2022-04-01,Flexi Cap,975.57,2022,2022-04,FY23
2022-05-01,Flexi Cap,1321.11,2022,2022-05,FY23
2022-06-01,Flexi Cap,1104.1,2022,2022-06,FY23
2022-07-01,Flexi Cap,1562.59,2022,2022-07,FY23
2022-08-01,Flexi Cap,1586.31,2022,2022-08,FY23
2022-09-01,Flexi Cap,1397.0,2022,2022-09,FY23
2022-10-01,Flexi Cap,1621.11,2022,2022-10,FY23
2022-11-01,Flexi Cap,1161.04,2022,2022-11,FY23
2022-12-01,Flexi Cap,1596.25,2022,2022-12,FY23
2023-01-01,Flexi Cap,1100.22,2023,2023-01,FY23
2023-02-01,Flexi Cap,1226.63,2023,2023-02,FY23
2023-03-01,Flexi Cap,1498.34,2023,2023-03,FY23
2023-04-01,Flexi Cap,1380.62,2023,2023-04,FY24
2023-05-01,Flexi Cap,1355.76,2023,2023-05,FY24
2023-06-01,Flexi Cap,1782.01,2023,2023-06,FY24
2023-07-01,Flexi Cap,1352.73,2023,2023-07,FY24
2023-08-01,Flexi Cap,1029.91,2023,2023-08,FY24
2023-09-01,Flexi Cap,849.37,2023,2023-09,FY24
2023-10-01,Flexi Cap,1664.57,2023,2023-10,FY24
2023-11-01,Flexi Cap,1223.58,2023,2023-11,FY24
2023-12-01,Flexi Cap,1282.54,2023,2023-12,FY24
2024-01-01,Flexi Cap,1581.56,2024,2024-01,FY24
2024-02-01,Flexi Cap,1689.79,2024,2024-02,FY24
2024-03-01,Flexi Cap,900.64,2024,2024-03,FY24
2024-04-01,Flexi Cap,1190.48,2024,2024-04,FY25
2024-05-01,Flexi Cap,2270.77,2024,2024-05,FY25
2024-06-01,Flexi Cap,1638.62,2024,2024-06,FY25
2024-07-01,Flexi Cap,1524.05,2024,2024-07,FY25
2024-08-01,Flexi Cap,2052.05,2024,2024-08,FY25
2024-09-01,Flexi Cap,1660.7,2024,2024-09,FY25
2024-10-01,Flexi Cap,1381.56,2024,2024-10,FY25
2024-11-01,Flexi Cap,1365.27,2024,2024-11,FY25
2024-12-01,Flexi Cap,1965.21,2024,2024-12,FY25
2025-01-01,Flexi Cap,1893.12,2025,2025-01,FY25
2025-02-01,Flexi Cap,2137.03,2025,2025-02,FY25
2025-03-01,Flexi Cap,1570.48,2025,2025-03,FY25
2025-04-01,Flexi Cap,2343.27,2025,2025-04,FY26
2025-05-01,Flexi Cap,1791.83,2025,2025-05,FY26
2025-06-01,Flexi Cap,2838.93,2025,2025-06,FY26
2025-07-01,Flexi Cap,1902.59,2025,2025-07,FY26
2025-08-01,Flexi Cap,2125.65,2025,2025-08,FY26
2025-09-01,Flexi Cap,2417.76,2025,2025-09,FY26
2025-10-01,Flexi Cap,1875.4,2025,2025-10,FY26
2025-11-01,Flexi Cap,1558.0,2025,2025-11,FY26
2025-12-01,Flexi Cap,1865.74,2025,2025-12,FY26
2022-01-01,ELSS,3330.84,2022,2022-01,FY22
2022-02-01,ELSS,3637.69,2022,2022-02,FY22
2022-03-01,ELSS,3858.8,2022,2022-03,FY22
2022-04-01,ELSS,3798.0,2022,2022-04,FY23
2022-05-01,ELSS,4361.16,2022,2022-05,FY23
2022-06-01,ELSS,4115.35,2022,2022-06,FY23
2022-07-01,ELSS,3646.14,2022,2022-07,FY23
2022-08-01,ELSS,3428.81,2022,2022-08,FY23
2022-09-01,ELSS,4149.95,2022,2022-09,FY23
2022-10-01,ELSS,4055.62,2022,2022-10,FY23
2022-11-01,ELSS,3729.71,2022,2022-11,FY23
2022-12-01,ELSS,4129.94,2022,2022-12,FY23
