transaction_id,investor_id,date,transaction_type,transaction_amount,state,age_group,city_tier,gender,monthly_sip_amount,transaction_count,year,year_month
TXN0000001,INV00001,2025-03-22,SIP,15786.17,Punjab,25-34,B30,Female,13819.93,1,2025,2025-03
TXN0000002,INV00001,2022-06-25,Redemption,104568.69,Punjab,25-34,B30,Female,13819.93,1,2022,2022-06
TXN0000003,INV00001,2022-10-03,Redemption,42059.18,Punjab,25-34,B30,Female,13819.93,1,2022,2022-10
TXN0000004,INV00001,2023-07-03,SIP,15057.64,Punjab,25-34,B30,Female,13819.93,1,2023,2023-07
TXN0000005,INV00001,2024-05-17,Lumpsum,78674.86,Punjab,25-34,B30,Female,13819.93,1,2024,2024-05
TXN0000006,INV00002,2022-10-02,Lumpsum,61267.73,Madhya Pradesh,55+,T30,Male,11369.22,1,2022,2022-10
TXN0000007,INV00002,2023-12-29,Lumpsum,86134.85,Madhya Pradesh,55+,T30,Male,11369.22,1,2023,2023-12
TXN0000008,INV00002,2024-02-11,Lumpsum,54186.3,Madhya Pradesh,55+,T30,Male,11369.22,1,2024,2024-02
TXN0000009,INV00002,2025-03-11,SIP,12664.56,Madhya Pradesh,55+,T30,Male,11369.22,1,2025,2025-03
TXN0000010,INV00003,2022-06-07,SIP,9638.55,Kerala,55+,T30,Male,9922.56,1,2022,2022-06
TXN0000011,INV00003,2022-07-15,SIP,10196.82,Kerala,55+,T30,Male,9922.56,1,2022,2022-07
TXN0000012,INV00003,2024-10-17,Lumpsum,83848.16,Kerala,55+,T30,Male,9922.56,1,2024,2024-10
TXN0000013,INV00003,2025-01-24,SIP,8963.46,Kerala,55+,T30,Male,9922.56,1,2025,2025-01
TXN0000014,INV00003,2024-01-02,SIP,10537.2,Kerala,55+,T30,Male,9922.56,1,2024,2024-01
TXN0000015,INV00004,2023-04-15,SIP,6694.02,Punjab,45-54,B30,Male,6049.82,1,2023,2023-04
TXN0000016,INV00004,2023-07-30,Lumpsum,76399.91,Punjab,45-54,B30,Male,6049.82,1,2023,2023-07
TXN0000017,INV00004,2023-01-26,SIP,6071.21,Punjab,45-54,B30,Male,6049.82,1,2023,2023-01
TXN0000018,INV00005,2022-09-26,Lumpsum,134813.27,Kerala,25-34,T30,Male,19236.45,1,2022,2022-09
TXN0000019,INV00005,2022-03-01,Lumpsum,87876.55,Kerala,25-34,T30,Male,19236.45,1,2022,2022-03
TXN0000020,INV00005,2025-01-24,SIP,19170.51,Kerala,25-34,T30,Male,19236.45,1,2025,2025-01
TXN0000021,INV00005,2022-01-31,SIP,18830.72,Kerala,25-34,T30,Male,19236.45,1,2022,2022-01
TXN0000022,INV00005,2023-10-22,SIP,18855.25,Kerala,25-34,T30,Male,19236.45,1,2023,2023-10
TXN0000023,INV00005,2024-07-24,SIP,18801.08,Kerala,25-34,T30,Male,19236.45,1,2024,2024-07
TXN0000024,INV00005,2023-03-25,Redemption,85923.08,Kerala,25-34,T30,Male,19236.45,1,2023,2023-03
TXN0000025,INV00006,2023-02-15,SIP,36820.62,Maharashtra,35-44,B30,Male,32133.98,1,2023,2023-02
TXN0000026,INV00006,2023-12-15,Lumpsum,141248.87,Maharashtra,35-44,B30,Male,32133.98,1,2023,2023-12
TXN0000027,INV00006,2025-07-03,Lumpsum,229900.49,Maharashtra,35-44,B30,Male,32133.98,1,2025,2025-07
TXN0000028,INV00007,2022-08-08,SIP,5903.65,Punjab,35-44,B30,Male,5144.54,1,2022,2022-08
TXN0000029,INV00007,2024-12-09,SIP,4645.24,Punjab,35-44,B30,Male,5144.54,1,2024,2024-12
TXN0000030,INV00007,2023-10-31,Redemption,18965.06,Punjab,35-44,B30,Male,5144.54,1,2023,2023-10
TXN0000031,INV00007,2022-02-05,Lumpsum,30576.6,Punjab,35-44,B30,Male,5144.54,1,2022,2022-02
TXN0000032,INV00007,2025-08-15,SIP,5792.8,Punjab,35-44,B30,Male,5144.54,1,2025,2025-08
TXN0000033,INV00008,2022-10-16,SIP,3921.6,Kerala,45-54,T30,Female,4141.01,1,2022,2022-10
TXN0000034,INV00008,2022-04-20,SIP,4408.4,Kerala,45-54,T30,Female,4141.01,1,2022,2022-04
TXN0000035,INV00008,2022-11-10,SIP,3739.4,Kerala,45-54,T30,Female,4141.01,1,2022,2022-11
TXN0000036,INV00009,2024-10-02,Lumpsum,73216.84,Madhya Pradesh,18-24,T30,Female,6521.08,1,2024,2024-10
TXN0000037,INV00009,2023-11-20,Lumpsum,51578.22,Madhya Pradesh,18-24,T30,Female,6521.08,1,2023,2023-11
TXN0000038,INV00009,2023-11-24,Lumpsum,29291.23,Madhya Pradesh,18-24,T30,Female,6521.08,1,2023,2023-11
TXN0000039,INV00010,2022-08-30,SIP,7579.11,Kerala,35-44,T30,Male,6639.01,1,2022,2022-08
TXN0000040,INV00010,2025-12-19,SIP,7452.17,Kerala,35-44,T30,Male,6639.01,1,2025,2025-12
TXN0000041,INV00010,2022-08-26,Lumpsum,61262.87,Kerala,35-44,T30,Male,6639.01,1,2022,2022-08
TXN0000042,INV00010,2023-11-23,Lumpsum,60979.63,Kerala,35-44,T30,Male,6639.01,1,2023,2023-11
TXN0000043,INV00010,2022-03-29,Lumpsum,47849.63,Kerala,35-44,T30,Male,6639.01,1,2022,2022-03
TXN0000044,INV00010,2022-04-10,SIP,7394.72,Kerala,35-44,T30,Male,6639.01,1,2022,2022-04
TXN0000045,INV00011,2022-08-13,SIP,7780.88,West Bengal,25-34,T30,Male,7175.76,1,2022,2022-08
TXN0000046,INV00011,2023-07-07,SIP,7038.58,West Bengal,25-34,T30,Male,7175.76,1,2023,2023-07
TXN0000047,INV00011,2025-05-11,Lumpsum,75558.93,West Bengal,25-34,T30,Male,7175.76,1,2025,2025-05
TXN0000048,INV00012,2025-10-17,Lumpsum,48483.34,Gujarat,25-34,T30,Female,3970.21,1,2025,2025-10
TXN0000049,INV00012,2022-11-08,SIP,4199.88,Gujarat,25-34,T30,Female,3970.21,1,2022,2022-11
TXN0000050,INV00012,2022-10-08,SIP,4002.54,Gujarat,25-34,T30,Female,3970.21,1,2022,2022-10
TXN0000051,INV00013,2022-07-20,SIP,14073.94,Gujarat,45-54,T30,Female,15107.5,1,2022,2022-07
TXN0000052,INV00013,2024-09-12,SIP,15580.6,Gujarat,45-54,T30,Female,15107.5,1,2024,2024-09
TXN0000053,INV00013,2024-03-13,Lumpsum,221616.59,Gujarat,45-54,T30,Female,15107.5,1,2024,2024-03
TXN0000054,INV00014,2025-10-11,SIP,12231.37,Tamil Nadu,35-44,B30,Male,12864.01,1,2025,2025-10
TXN0000055,INV00014,2023-05-01,SIP,12615.18,Tamil Nadu,35-44,B30,Male,12864.01,1,2023,2023-05
TXN0000056,INV00015,2024-07-25,Lumpsum,55157.75,Gujarat,35-44,T30,Female,11116.14,1,2024,2024-07
TXN0000057,INV00015,2025-07-30,SIP,12003.45,Gujarat,35-44,T30,Female,11116.14,1,2025,2025-07
TXN0000058,INV00015,2023-06-04,SIP,12191.06,Gujarat,35-44,T30,Female,11116.14,1,2023,2023-06
TXN0000059,INV00015,2024-04-14,Redemption,62203.72,Gujarat,35-44,T30,Female,11116.14,1,2024,2024-04
TXN0000060,INV00015,2025-11-24,SIP,12178.27,Gujarat,35-44,T30,Female,11116.14,1,2025,2025-11
TXN0000061,INV00015,2022-12-29,Redemption,60931.87,Gujarat,35-44,T30,Female,11116.14,1,2022,2022-12
TXN0000062,INV00016,2023-06-02,Lumpsum,38503.16,Uttar Pradesh,25-34,B30,Female,3524.23,1,2023,2023-06
TXN0000063,INV00016,2023-12-13,Lumpsum,15756.23,Uttar Pradesh,25-34,B30,Female,3524.23,1,2023,2023-12
TXN0000064,INV00016,2024-06-07,Lumpsum,32943.84,Uttar Pradesh,25-34,B30,Female,3524.23,1,2024,2024-06
TXN0000065,INV00016,2024-04-21,SIP,3294.96,Uttar Pradesh,25-34,B30,Female,3524.23,1,2024,2024-04
TXN0000066,INV00016,2022-05-22,SIP,3211.35,Uttar Pradesh,25-34,B30,Female,3524.23,1,2022,2022-05
TXN0000067,INV00016,2022-03-24,SIP,3198.37,Uttar Pradesh,25-34,B30,Female,3524.23,1,2022,2022-03
TXN0000068,INV00017,2022-01-14,Lumpsum,149034.61,West Bengal,35-44,T30,Male,10320.79,1,2022,2022-01
TXN0000069,INV00017,2025-06-06,SIP,11079.21,West Bengal,35-44,T30,Male,10320.79,1,2025,2025-06
TXN0000070,INV00017,2025-07-24,Lumpsum,84476.76,West Bengal,35-44,T30,Male,10320.79,1,2025,2025-07
TXN0000071,INV00017,2025-05-31,Redemption,37051.19,West Bengal,35-44,T30,Male,10320.79,1,2025,2025-05
TXN0000072,INV00017,2023-02-21,SIP,11663.34,West Bengal,35-44,T30,Male,10320.79,1,2023,2023-02
TXN0000073,INV00017,2023-09-30,Redemption,38302.25,West Bengal,35-44,T30,Male,10320.79,1,2023,2023-09
TXN0000074,INV00018,2023-01-25,SIP,3500.11,Rajasthan,35-44,T30,Female,3200.0,1,2023,2023-01
TXN0000075,INV00018,2022-06-03,SIP,3329.87,Rajasthan,35-44,T30,Female,3200.0,1,2022,2022-06
TXN0000076,INV00018,2022-03-03,SIP,3158.47,Rajasthan,35-44,T30,Female,3200.0,1,2022,2022-03
TXN0000077,INV00019,2022-03-09,Redemption,150337.16,Uttar Pradesh,45-54,T30,Female,27153.39,1,2022,2022-03
TXN0000078,INV00019,2023-09-08,SIP,29009.03,Uttar Pradesh,45-54,T30,Female,27153.39,1,2023,2023-09
TXN0000079,INV00019,2022-06-30,SIP,29972.96,Uttar Pradesh,45-54,T30,Female,27153.39,1,2022,2022-06
TXN0000080,INV00019,2024-01-11,Lumpsum,159746.34,Uttar Pradesh,45-54,T30,Female,27153.39,1,2024,2024-01
TXN0000081,INV00019,2025-05-28,Lumpsum,286693.3,Uttar Pradesh,45-54,T30,Female,27153.39,1,2025,2025-05
TXN0000082,INV00020,2025-09-19,SIP,3148.9,Rajasthan,18-24,B30,Male,3187.89,1,2025,2025-09
TXN0000083,INV00020,2025-06-02,Lumpsum,19064.36,Rajasthan,18-24,B30,Male,3187.89,1,2025,2025-06
TXN0000084,INV00021,2023-10-04,SIP,21981.49,Maharashtra,45-54,T30,Male,21404.62,1,2023,2023-10
TXN0000085,INV00021,2023-10-06,Redemption,63285.94,Maharashtra,45-54,T30,Male,21404.62,1,2023,2023-10
TXN0000086,INV00022,2025-06-12,SIP,5330.79,Delhi,25-34,T30,Male,4978.58,1,2025,2025-06
TXN0000087,INV00022,2022-06-29,SIP,5562.41,Delhi,25-34,T30,Male,4978.58,1,2022,2022-06
TXN0000088,INV00022,2022-05-24,SIP,5580.85,Delhi,25-34,T30,Male,4978.58,1,2022,2022-05
TXN0000089,INV00022,2025-04-14,SIP,4636.34,Delhi,25-34,T30,Male,4978.58,1,2025,2025-04
TXN0000090,INV00022,2023-04-04,SIP,4948.69,Delhi,25-34,T30,Male,4978.58,1,2023,2023-04
TXN0000091,INV00022,2023-08-03,Lumpsum,43506.02,Delhi,25-34,T30,Male,4978.58,1,2023,2023-08
TXN0000092,INV00023,2023-05-29,SIP,8806.79,Karnataka,25-34,T30,Female,7913.32,1,2023,2023-05
TXN0000093,INV00023,2024-12-15,Lumpsum,80695.77,Karnataka,25-34,T30,Female,7913.32,1,2024,2024-12
TXN0000094,INV00023,2022-07-08,SIP,7634.32,Karnataka,25-34,T30,Female,7913.32,1,2022,2022-07
TXN0000095,INV00023,2023-05-04,SIP,8304.74,Karnataka,25-34,T30,Female,7913.32,1,2023,2023-05
